teamscorepos,dateloc,possessions,totalDrama,perDrama
151 Arkansas St. 116 222 Arkansas Little Rock 114  (4OT) [96],"Friday, March 14, 2014 7:00 pm ET Lakefront Arena New Orleans, LA",96,14.0175,0.07456117
105 Purdue 77 38 Minnesota 74  (3OT) [77],"Wednesday, February 5, 2014 8:30 pm ET Mackey Arena West Lafayette, IN",77,10.8444,0.070878431
17 Iowa St. 98 22 Oklahoma St. 97  (3OT) [90],"Monday, February 3, 2014 9:00 pm ET Gallagher-Iba Arena Stillwater, OK",90,12.5171,0.06766
298 Sacramento St. 78 171 Weber St. 75  (OT) [70],"Saturday, February 1, 2014 10:05 pm ET Hornet Gym Sacramento, CA",70,9.2013,0.065723571
312 Portland St. 81 209 Montana 78  (3OT) [77],"Saturday, January 11, 2014 10:05 pm ET Peter W Stott Center Portland, OR",77,10.1832,0.065698065
38 St. John's 91 58 Marquette 90  (2OT) [85],"Saturday, March 8, 2014 12:00 pm ET BMO Harris Bradley Center Milwaukee, WI",85,10.6497,0.065335583
242 VMI 108 241 Gardner Webb 104  (4OT) [97],"Wednesday, February 5, 2014 7:00 pm ET Paul Porter Arena Boiling Springs, NC",97,12.5779,0.064502051
247 Southeast Missouri St. 118 157 Murray St. 115  (2OT) [91],"Saturday, March 1, 2014 6:30 pm ET Show Me Center Cape Girardeau, MO",91,11.4836,0.063096703
272 UC Riverside 106 240 Cal St. Northridge 105  (2OT) [97],"Saturday, March 1, 2014 10:00 pm ET Student Recreation Center Riverside, CA",97,11.9335,0.062479058
14 Michigan 77 104 Purdue 76  (OT) [69],"Wednesday, February 26, 2014 7:00 pm ET Mackey Arena West Lafayette, IN",69,8.5431,0.061906522
33 Arizona St. 69 1 Arizona 66  (2OT) [77],"Friday, February 14, 2014 9:00 pm ET Wells-Fargo Arena Tempe, AZ",77,9.6377,0.061780128
298 Alabama St. 90 338 Prairie View A&M 87  (OT) [79],"Monday, March 3, 2014 8:30 pm ET William Nicks Center Prairie View, TX",79,9.7488,0.061701266
65 Providence 84 66 St. John's 83  (2OT) [80],"Thursday, January 16, 2014 7:00 pm ET Carnesecca Arena Jamaica, NY",80,9.6768,0.061635669
198 Lehigh 88 172 Colgate 81  (2OT) [85],"Thursday, January 2, 2014 7:00 pm ET Cotterell Court Hamilton, NY",85,10.5375,0.061622807
282 Central Michigan 65 312 SIU Edwardsville 64 [64],"Saturday, December 7, 2013 8:00 pm ET Vadalabene Center Edwardsville, IL",64,7.6115,0.060892
192 Oakland 83 176 Detroit 82  (OT) [76],"Friday, February 14, 2014 7:00 pm ET Athletics Center O'Rena Oakland, MI",76,9.4047,0.060675484
20 North Carolina 85 77 North Carolina St. 84  (OT) [73],"Wednesday, February 26, 2014 8:00 pm ET PNC Arena Raleigh, NC",73,8.9571,0.060520946
96 Stony Brook 104 166 Detroit 102  (3OT) [88],"Sunday, November 24, 2013 4:00 pm ET Calihan Hall Detroit, MI",88,10.5256,0.060491954
269 Rice 96 142 South Alabama 93  (3OT) [89],"Saturday, December 7, 2013 6:00 pm ET Tudor Fieldhouse Houston, TX",89,10.8408,0.060226667
9 Villanova 82 56 Providence 79  (2OT) [75],"Tuesday, February 18, 2014 7:00 pm ET Dunkin' Donuts Center Providence, RI",75,9.034,0.060226667
49 Providence 81 57 Marquette 80  (2OT) [80],"Tuesday, March 4, 2014 9:00 pm ET Dunkin' Donuts Center Providence, RI",80,9.7469,0.060166049
115 Canisius 92 204 Siena 88  (3OT) [88],"Sunday, February 16, 2014 2:00 pm ET Times Union Center Albany, NY",88,10.1856,0.059915294
328 South Carolina St. 63 297 Florida A&M 59  (OT) [72],"Saturday, February 1, 2014 4:00 pm ET Al Lawson Center Tallahassee, FL",72,8.6273,0.059911806
121 Seton Hall 81 69 Providence 80  (2OT) [78],"Tuesday, December 31, 2013 2:30 pm ET Dunkin' Donuts Center Providence, RI",78,9.1638,0.059894118
245 Winthrop 73 250 Coastal Carolina 72  (OT) [71],"Saturday, January 18, 2014 7:00 pm ET HTC Center Conway, SC",71,8.8042,0.059892517
36 Oregon 87 14 UCLA 83  (2OT) [78],"Thursday, February 27, 2014 11:00 pm ET Pauley Pavilion Los Angeles, CA",78,9.3847,0.059775159
151 Nevada 83 72 Boise St. 81  (2OT) [78],"Wednesday, March 5, 2014 9:00 pm ET Taco Bell Arena Boise, ID",78,9.2978,0.059601282
175 UCF 94 160 Temple 90  (2OT) [84],"Wednesday, March 12, 2014 9:30 pm ET FedExForum Memphis, TN",84,9.5898,0.059563975
168 South Florida 79 164 UCF 78  (OT) [66],"Wednesday, February 5, 2014 7:00 pm ET CFE Arena Orlando, FL",66,8.0955,0.059525735
186 Utah Valley 52 207 Seattle 51 [58],"Sunday, January 19, 2014 4:00 pm ET KeyArena Seattle, WA",58,6.4191,0.059436111
298 Campbell 75 264 Georgia Southern 73  (OT) [74],"Saturday, November 30, 2013 7:00 pm ET Hanner Fieldhouse Statesboro, GA",74,8.9415,0.059215232
6 Wisconsin 64 2 Arizona 63  (OT) [61],"Saturday, March 29, 2014 8:49 pm ET Honda Center Anaheim, CA",61,7.4014,0.0592112
111 Mercer 117 114 Valparaiso 108  (3OT) [97],"Friday, November 29, 2013 8:05 pm ET Athletics-Recreation Center Valparaiso, IN",97,11.7718,0.059154774
221 Lehigh 68 319 Navy 66  (OT) [65],"Wednesday, January 22, 2014 7:00 pm ET Alumni Hall Annapolis, MD",65,7.913,0.059052239
144 Yale 66 100 Princeton 65  (OT) [68],"Saturday, February 15, 2014 7:00 pm ET Lee Amphitheater New Haven, CT",68,7.9606,0.058967407
53 Drexel 85 51 Alabama 83  (3OT) [79],"Friday, November 29, 2013 3:30 pm ET Madison Square Garden New York, NY",79,9.6666,0.058942683
130 Mercer 77 74 Seton Hall 74  (2OT) [82],"Saturday, November 16, 2013 3:00 pm ET Hawkins Arena Macon, GA",82,9.5264,0.058804938
50 Clemson 77 51 Maryland 73  (2OT) [84],"Sunday, March 2, 2014 1:00 pm ET Littlejohn Coliseum Clemson, SC",84,10.0542,0.058796491
239 Coastal Carolina 65 246 Central Connecticut 62 [62],"Saturday, December 21, 2013 1:00 pm ET Detrick Gymnasium New Britain, CT",62,7.4068,0.058784127
136 Canisius 94 213 Rider 91  (2OT) [74],"Friday, January 10, 2014 7:00 pm ET Koessler Athletic Center Buffalo, NY",74,8.4082,0.058390278
160 Eastern Michigan 81 147 Oakland 79  (OT) [66],"Saturday, December 21, 2013 1:00 pm ET Athletics Center O'Rena Oakland, MI",66,7.7689,0.057976866
230 Dartmouth 78 90 Princeton 69  (OT) [67],"Saturday, February 1, 2014 7:00 pm ET Leede Arena Hanover, NH",67,7.9223,0.057827007
127 Fresno St. 98 193 UC Irvine 97  (OT) [83],"Friday, November 8, 2013 10:00 pm ET Bren Events Center Irvine, CA",83,9.5404,0.057820606
250 Western Carolina 82 306 UNC Greensboro 77  (OT) [77],"Sunday, February 16, 2014 2:00 pm ET Greensboro Coliseum Greensboro, NC",77,8.957,0.057787097
165 Oakland 76 287 Illinois Chicago 75 [71],"Saturday, January 25, 2014 2:00 pm ET Athletics Center O'Rena Oakland, MI",71,8.2611,0.05776993
237 VMI 82 298 High Point 80  (OT) [79],"Wednesday, January 22, 2014 7:00 pm ET Cameron Hall Lexington, VA",79,9.0046,0.057721795
236 Sam Houston St. 108 334 Prairie View A&M 103  (2OT) [87],"Thursday, November 14, 2013 8:00 pm ET William Nicks Center Prairie View, TX",87,9.9538,0.057536416
271 Air Force 64 81 Boise St. 61  (OT) [63],"Saturday, March 8, 2014 2:00 pm ET Clune Arena Colorado Springs, CO",63,7.4729,0.057483846
281 Saint Peter's 83 112 Seton Hall 80  (OT) [75],"Saturday, December 14, 2013 12:00 pm ET Prudential Center Newark, NJ",75,8.5618,0.057461745
243 Idaho St. 73 196 Northern Colorado 70 [64],"Thursday, February 6, 2014 9:05 pm ET Holt Arena Pocatello, ID",64,7.2324,0.0574
