Game Time,Win Probability
0,0.7473
0.116666667,0.7688
0.283333333,0.7473
0.466666667,0.7278
0.933333333,0.704
1.016666667,0.6826
1.45,0.6567
1.533333333,0.608
2.116666667,0.6562
2.383333333,0.6812
2.8,0.6535
3.033333333,0.6788
3.283333333,0.6775
3.483333333,0.702
4.033333333,0.6782
4.3,0.6234
4.9,0.5893
5.083333333,0.5587
5.766666667,0.5287
6.066666667,0.497
6.5,0.5225
6.816666667,0.5477
7.166666667,0.5149
7.433333333,0.453
8.266666667,0.4119
8.566666667,0.4385
8.95,0.4008
9.383333333,0.4321
9.75,0.4052
10.33333333,0.3728
10.6,0.4019
10.96666667,0.341
11.45,0.3099
11.5,0.2827
11.91666667,0.2561
12.28333333,0.2046
12.7,0.221
13.21666667,0.2383
13.33333333,0.2618
13.68333333,0.2335
14.1,0.2563
14.36666667,0.2814
14.76666667,0.2563
15.03333333,0.2807
15.33333333,0.3012
15.7,0.3197
15.88333333,0.3796
16.41666667,0.4016
16.5,0.3688
16.75,0.3277
17.16666667,0.3253
17.45,0.2863
17.76666667,0.3166
18.28333333,0.3399
18.65,0.3728
18.8,0.4019
18.9,0.369
19.01666667,0.3235
19.63333333,0.2713
20,0.2325
20.36666667,0.1954
20.65,0.2235
20.91666667,0.2523
21.45,0.2829
22.08333333,0.2784
22.4,0.2424
22.96666667,0.3016
23.51666667,0.3388
23.61666667,0.2978
23.95,0.2573
24.3,0.2755
24.51666667,0.2254
24.76666667,0.2439
25.33333333,0.2737
25.65,0.241
25.75,0.2104
26.21666667,0.245
26.43333333,0.2861
26.61666667,0.3214
27.2,0.3675
27.26666667,0.4605
27.7,0.5137
28.05,0.4554
28.2,0.5081
28.31666667,0.5611
28.56666667,0.5048
29.01666667,0.5582
29.3,0.6084
29.73333333,0.5514
30,0.6029
30.15,0.602
30.36666667,0.48
30.71666667,0.5902
31.11666667,0.5249
31.5,0.4545
31.76666667,0.3341
32.05,0.4454
32.38333333,0.3731
32.9,0.4248
33.25,0.4801
33.41666667,0.4075
34.05,0.3331
34.33333333,0.3783
34.66666667,0.3063
34.93333333,0.2926
35.1,0.3603
35.51666667,0.274
36.16666667,0.318
36.5,0.2107
36.66666667,0.1306
36.9,0.1726
37.5,0.2237
37.55,0.3299
38.06666667,0.4272
38.1,0.5478
38.83333333,0.3665
39.08333333,0.5199
39.48333333,0.6868
39.95,0.3252
40,0.675
40.2,0.5977
40.43333333,0.6768
40.51666667,0.7441
40.75,0.598
41.28333333,0.6807
41.91666667,0.7692
42.16666667,0.8568
42.2,0.7693
42.51666667,0.8491
42.78333333,0.765
43.5,0.6743
43.78333333,0.799
44.31666667,0.6945
44.48333333,0.4926
44.73333333,0.2472
44.78333333,0.5067
44.96666667,0.8062
45,1
