game,hype,team1,team2,shortDate,gameInfo,possessions,eFG,perDrama,conference
3803,9.699952176,Syracuse,Duke,"Saturday, February 1, 2014",Syracuse 91  Duke 89,68,0.563492063,0.0557,ACC
320,9.699952176,Michigan St.,Kentucky,"Tuesday, November 12, 2013",Michigan St. 78  Kentucky 74,70,0.504237288,0.0276,Non-Conference
2560,9.432134293,Michigan St.,Ohio St.,"Tuesday, January 7, 2014",Michigan St. 72  Ohio St. 68,75,0.5,0.041,Big Ten
6236,9.399231508,Wisconsin,Arizona,"Saturday, March 29, 2014",Wisconsin 64  Arizona 63,61,0.4375,0.0592,Non-Conference
3114,9.298797499,Syracuse,Pittsburgh,"Saturday, January 18, 2014",Syracuse 59  Pittsburgh 54,54,0.494318182,0.0358,ACC
6047,9.199806763,Virginia,Duke,"Sunday, March 16, 2014",Virginia 72  Duke 63,61,0.468181818,0.0357,ACC
4500,9.166618287,Creighton,Villanova,"Sunday, February 16, 2014",Creighton 101  Villanova 80,69,0.650485437,0.0147,Big East
276,9.132560386,Kansas,Duke,"Tuesday, November 12, 2013",Kansas 94  Duke 83,75,0.582608696,0.0433,Non-Conference
6216,9.132560386,Michigan St.,Virginia,"Friday, March 28, 2014",Michigan St. 61  Virginia 59,58,0.447115385,0.0433,Non-Conference
2078,9.099564586,Syracuse,Villanova,"Saturday, December 28, 2013",Syracuse 78  Villanova 62,64,0.510526316,0.0264,Non-Conference
6241,9.066472868,Kentucky,Wisconsin,"Saturday, April 5, 2014",Kentucky 74  Wisconsin 73,61,0.527777778,0.0504,Non-Conference
1667,9.033284813,North Carolina,Kentucky,"Saturday, December 14, 2013",North Carolina 82  Kentucky 77,74,0.472727273,0.0299,Non-Conference
4770,8.999224806,Duke,Syracuse,"Saturday, February 22, 2014",Duke 66  Syracuse 60,60,0.468181818,0.0384,ACC
3524,8.999224806,Duke,Pittsburgh,"Monday, January 27, 2014",Duke 80  Pittsburgh 65,62,0.532110092,0.0306,ACC
6213,8.93313897,Michigan,Tennessee,"Friday, March 28, 2014",Michigan 73  Tennessee 71,60,0.603773585,0.0313,Non-Conference
